simTime,simDelta,xPos,yPos,zPos,speed,heading,steering,gas,brake,state1,state2,state3,state4,state5,state6,eulerX,eulerY,eulerZ,rpm,gear,leftBlinker,rightBlinker
209.7249,0.016666,6606.645,-409.4706,-0.5061002,65.42723,-179.9213,-2.628,0.3379801,0,1,1,4014.979,4021.046,5.232018,9.5099,0.03607922,-0.256484,-179.9213,1993.749,3,1,1
209.7416,0.016666,6606.158,-409.4715,-0.5061015,65.4154,-179.9241,-2.628,0.3379801,0,1,1,4014.979,4021.046,5.232018,9.5099,0.03603316,-0.2556558,-179.9241,1994.077,3,1,1
209.7583,0.016666,6605.67,-409.4723,-0.5061024,65.40359,-179.9269,-2.592,0.3379801,0,1,1,4016.028,4022.02,5.232657,9.511671,0.03594053,-0.254928,-179.9269,1993.849,3,1,1
209.7749,0.016666,6605.183,-409.4732,-0.506103,65.39179,-179.9295,-2.592,0.3379801,0,1,1,4016.028,4022.02,5.232657,9.511671,0.03580806,-0.2543074,-179.9295,1993.184,3,1,1
209.7916,0.016666,6604.696,-409.474,-0.5061033,65.37998,-179.9321,-2.592,0.3379801,0,1,1,4017.078,4022.995,5.233386,9.513382,0.03564252,-0.2537992,-179.9321,1992.349,3,1,1
209.8083,0.016666,6604.209,-409.4749,-0.5061033,65.36818,-179.9347,-2.592,0.3379801,0,1,1,4017.078,4022.995,5.233386,9.513382,0.03544956,-0.2534063,-179.9347,1991.622,3,1,1
209.8249,0.016666,6603.722,-409.4756,-0.506103,65.35637,-179.9371,-2.556,0.3379801,0,1,1,4018.126,4023.969,5.234198,9.515,0.03523383,-0.2531297,-179.9371,1990.992,3,1,1
209.8416,0.016666,6603.235,-409.4764,-0.5061025,65.34455,-179.9395,-2.556,0.3379801,0,1,1,4018.126,4023.969,5.234198,9.515,0.03499904,-0.2529684,-179.9395,1990.448,3,1,1
209.8583,0.016666,6602.748,-409.4771,-0.5061017,65.33278,-179.9418,-2.52,0.4053629,0,1,1,4019.175,4024.942,5.235085,9.516498,0.03474781,-0.2529162,-179.9418,1990.154,3,1,1
209.8749,0.016666,6602.262,-409.4779,-0.5061006,65.32104,-179.9441,-2.52,0.4053629,0,1,1,4019.175,4024.942,5.235085,9.516498,0.03448322,-0.2529631,-179.9441,1989.022,3,1,1
209.8916,0.016666,6601.775,-409.4786,-0.5060992,65.30928,-179.9463,-2.52,0.4053629,0,1,1,4020.223,4025.915,5.236037,9.517963,0.03420843,-0.2531016,-179.9463,1989.523,3,1,1
209.9083,0.016666,6601.289,-409.4793,-0.5060974,65.29755,-179.9484,-2.52,0.4053629,0,1,1,4020.223,4025.915,5.236037,9.517963,0.03392066,-0.253325,-179.9484,1989.275,3,1,1
209.9249,0.016666,6600.802,-409.4799,-0.5060953,65.28584,-179.9504,-2.484,0.4053629,0,1,1,4021.271,4026.888,5.237041,9.519308,0.03361893,-0.2536262,-179.9504,1989.083,3,1,1
209.9416,0.016666,6600.315,-409.4806,-0.5060929,65.27412,-179.9525,-2.484,0.4053629,0,1,1,4021.271,4026.888,5.237041,9.519308,0.03330193,-0.253996,-179.9525,1989.548,3,1,1
209.9583,0.016666,6599.829,-409.4812,-0.50609,65.2624,-179.9544,-2.484,0.4053629,0,1,1,4022.319,4027.861,5.238083,9.520591,0.03296798,-0.2544247,-179.9544,1988.394,3,1,1
209.9749,0.016666,6599.343,-409.4818,-0.5060867,65.25068,-179.9563,-2.484,0.4053629,0,1,1,4022.319,4027.861,5.238083,9.520591,0.03261676,-0.2549014,-179.9563,1988.683,3,1,1
209.9916,0.016666,6598.857,-409.4824,-0.506083,65.23897,-179.9582,-2.484,0.4053629,0,1,1,4023.366,4028.833,5.23915,9.521783,0.03224779,-0.2554153,-179.9582,1987.597,3,1,1
210.0083,0.016666,6598.371,-409.483,-0.506079,65.22729,-179.96,-2.484,0.4053629,0,1,1,4023.366,4028.833,5.23915,9.521783,0.03186271,-0.255954,-179.96,1987.244,3,1,1
210.0249,0.016666,6597.885,-409.4836,-0.5060745,65.21559,-179.9618,-2.484,0.4053629,0,1,1,4024.413,4029.805,5.240227,9.522913,0.03146164,-0.2565123,-179.9618,1987.036,3,1,1
210.0416,0.016666,6597.399,-409.4841,-0.5060698,65.20387,-179.9635,-2.448,0.4053629,0,1,1,4024.413,4029.805,5.240227,9.522913,0.03104812,-0.2570804,-179.9635,1987.45,3,1,1
